Neighborhood	Code	Description
2444.02	18013	GROVES SEC 2                                                                                                            
2444.03	18013	"GROVES SEC 3, 6                                                                                                         "
2444.04	18013	GROVES SEC 4                                                                                                            
2444.05	18013	GROVES SEC 5                                                                                                            
2444.06	18013	"GROVES SEC 10,15,19,22                                                                                                  "
2444.07	18013	"GROVES SEC 7, 8, 9                                                                                                      "
2444.08	18013	GROVES SEC 11                                                                                                           
2445	18036	RIVERCHASE #1(95)/#2 (98)                                                                                               
2445.01	18036	"RIVERCHASE #3,4,5,6,& 7                                                                                                 "
2445.02	18036	RIVERPOINT VILLAGE                                                                                                      
2445.05	18036	"VILLAGES OF RIVERCHASE SEC 1,2                                                                                          "
2446	18044	KINGWOOD VLG EST CONDOS (96)                                                                                            
2446.01	18044	WESTMINISTER HOUSE CONDO                                                                                                
2446.02	18044	KINGWOOD VLG ESTS CONDOS                                                                                                
2447	18028	"KINGWOOD GLEN #3,R/P 97,#4,5                                                                                            "
2447.01	18001	KINGWD GLEN VILL PT.SEC7 03SUB                                                                                          
2447.02	18001	KINGWD GLEN VILL PT.SEC7 DUPLE                                                                                          
2447.04	18028	PARKSIDE@KINGWOOD GLEN                                                                                                  
2448	18036	"SUMMERW'D #1(96),97 R/P,#4(98)                                                                                          "
2448.01	18036	"SUMMERW'D #2(96),97 R/P,#6(98)                                                                                          "
2448.02	18036	"SUMMERW'D #3(96),97R/P,#5(98)                                                                                           "
2448.03	18036	SUMMERWOOD SEC 7/EDGEWATER VLG                                                                                          
2448.04	18036	SUMMERWOOD LAKE ESTS #8 & 12                                                                                            
2448.05	18036	SUMMERWOOD SEC 9                                                                                                        
2448.06	18013	"LAKE FOREST VILLAGE 1,2                                                                                                 "
2448.07	18036	SUMMERWOOD SEC 10                                                                                                       
2448.09	18036	"SUMMERWOOD SEC 15,16                                                                                                    "
2449	18036	SUMMERWOOD SEC 14   04 SUB                                                                                              
2449.01	18013	LAKE FOREST VILLAGE 3                                                                                                   
2449.02	18013	SUMMERWOOD SEC. 21                                                                                                      
2449.03	18013	"SUMMERWOOD SEC. 11,17                                                                                                   "
2449.04	18036	"SUMMERWOOD SEC 18, 28                                                                                                   "
2449.05	18036	"SUMMERWOOD SEC 19,25                                                                                                    "
2449.06	18036	"SUMMERWOOD SEC 20,30                                                                                                    "
2449.07	18013	SUMMERWOOD SEC 22                                                                                                       
2449.08	18013	SUMMERWOOD SEC 24                                                                                                       
2449.09	18036	"SUMMERWOOD SEC 26, 27                                                                                                   "
2449.1	18013	"SUMMERWOOD SEC 29, 34                                                                                                   "
2449.11	18013	SUMMERWOOD SEC 31                                                                                                       
2449.12	18036	SUMMERWOOD SEC 32 & AMEND NO 1                                                                                          
2449.13	18013	"SUMMERWOOD SEC 23, 36                                                                                                   "
2449.14	18036	SUMMERWOOD SEC 33                                                                                                       
2450	18036	"SUMMER LAKE RANCH SEC 1,2,5                                                                                             "
2450.01	18036	SUMMER LAKE RANCH SEC 4                                                                                                 
2451	18036	STILLWATER ON LAKE HOUSTON SEC 1                                                                                        
2451.01	18036	STILLWATER ON LAKE HOUSTON SEC 2                                                                                        
2451.03	18036	STILLWATER ON LAKE HOUSTON SEC 3                                                                                        
2451.04	18036	STILLWATER ON LAKE HOUSTON SEC 4                                                                                        
2452	18034	"KINGS LAKE ESTS #1,4,7,8                                                                                                "
2452.01	18034	"KINGS LAKE ESTATES #2,5                                                                                                 "
2454	18008	KINGS CROSSING VLG #24                                                                                                  
2455	18008	ATASCA WOODS SEC 1 & 3                                                                                                  
2455.01	18013	ATASCA WOODS SEC 2                                                                                                      
2455.02	18008	"ATASCA WOODS SEC 5,7                                                                                                    "
2455.03	18013	ATASCA WOODS SEC 4                                                                                                      
2455.04	18013	ATASCA WOODS SEC 6                                                                                                      
2456	18028	"EAGLE SPRINGS #1,R/P                                                                                                    "
2456.01	18028	"EAGLE SPRINGS SEC 2,13                                                                                                  "
2456.02	18028	"EAGLE SPRINGS SEC 3,4,11                                                                                                "
2456.04	18028	"EAGLE SPRINGS SEC 5,10                                                                                                  "
2456.05	18028	EAGLE SPRINGS SEC 6                                                                                                     
2457	18001	"CLASSIC PINES EST #1,PAR R/P                                                                                            "
2457.03	18028	ATASCOCITA TRACE SEC 1                                                                                                  
2457.04	18028	ATASCOCITA TRACE SEC 1 YB > 2009                                                                                        
2457.05	18028	"ATASCOCITA TRACE SEC 2,5                                                                                                "
2457.06	18028	"ATASCOCITA TRACE SEC 3, 4                                                                                               "
2458	18036	KINGWOOD LAKES SOUTH #1                                                                                                 
2458.01	18036	"BARRINGTON SEC. 1,2                                                                                                     "
2459	18036	KINGS RIVER ESTATES SEC 2                                                                                               
2459.01	18036	KINGS RIVER ESTATES SEC 3                                                                                               
2459.02	18036	KINGS RIVER ESTATES SEC 4                                                                                               
2459.03	18036	KINGS RIVER ESTATES SEC 5                                                                                               
2459.04	18036	KINGS RIVER ESTATES SEC 6                                                                                               
2460.01	18008	KINGS RIVER VILLAGE SEC 13                                                                                              
2461	18028	"BLACKSTONE CREEK SEC 1,2,3,4                                                                                            "
2462	18028	"FALL CREEK SEC 1, 5, 9                                                                                                  "
2462.01	18040	FALL CREEK SEC 2                                                                                                        
2462.02	18028	"FALL CREEK SEC 3, 6                                                                                                     "
2462.03	18028	FALL CREEK SEC 7                                                                                                        
2462.04	18036	"FALL CREEK SEC 4,8,11                                                                                                   "
2462.05	18040	FALL CREEK SEC. 10                                                                                                      
2462.06	18013	"FALL CREEK SEC 14,15, PT39 ,40,41,42 PT RP,43,44                                                                        "
2462.07	18036	"FALL CREEK SEC 16, 22, 31                                                                                               "
2462.09	18036	FALL CREEK SEC 23                                                                                                       
2462.1	18036	"FALL CREEK SEC 24, 25, 30                                                                                               "
2462.11	18036	"FALL CREEK SEC 17,18,20                                                                                                 "
2462.12	18036	"FALL CREEK SEC 28, 34                                                                                                   "
2462.13	18036	FALL CREEK SEC 29                                                                                                       
2462.14	18036	FALL CREEK SEC 21 R/P                                                                                                   
2462.15	18013	"EAGLE CREEK 3 & PT FALL CREEK 36, PT 39                                                                                 "
2462.16	18036	FALL CREEK SEC 26                                                                                                       
2462.17	18306	FALL CREEK SEC 20                                                                                                       
2462.18	18036	FALL CREEK SEC 11                                                                                                       
2462.19	18036	FALL CREEK SEC 27                                                                                                       
2463.01	18013	FALL CREEK EAST SEC 1                                                                                                   
2464	18001	SIR DAIN PLACE                                                                                                          
2465	18028	"CLAYTONS CORNER SEC 1,2,3,4                                                                                             "
2466	18028	NORTH KINGWOOD FOREST                                                                                                   
2467.01	18028	"ROYAL BROOK AT KINGWOOD SEC 1,4                                                                                         "
2467.02	18028	"ROYAL BROOK AT KINGWOOD SEC 2,5                                                                                         "
2467.03	18028	"ROYAL BROOK AT KINGWOOD SEC 3,6                                                                                         "
2468	18008	ATASCOCITA MEADOWS                                                                                                      
2470	18008	"LAKEWOOD COVE SEC 1, 2                                                                                                  "
2472	18036	EAGLE SPRINGS SEC. 9                                                                                                    
2472.01	18013	"EAGLE SPRINGS SEC. 7,12                                                                                                 "
2472.02	18013	"EAGLE SPRINGS SEC 8,14,15                                                                                               "
2472.03	18013	"EAGLE SPRINGS SEC.16,36,38                                                                                              "
2472.04	18013	"EAGLE SPRINGS SEC.17,26                                                                                                 "
2472.06	18013	"EAGLE SPRINGS SEC.20 PT, 32                                                                                             "
2472.07	18013	EAGLE SPRINGS SEC.19                                                                                                    
2472.08	18013	EAGLE SPRINGS SEC 21                                                                                                    
2472.09	18013	"EAGLE SPRINGS SEC 22, 25, 31                                                                                            "
2472.1	18013	"EAGLE SPRINGS SEC 18,28                                                                                                 "
2472.11	18013	EAGLE SPRINGS SEC 33                                                                                                    
2472.12	18028	EAGLE SPRINGS SEC 23                                                                                                    
2472.13	18028	"EAGLE SPRINGS SEC 24 R/P,37                                                                                             "
2472.14	18013	"EAGLE SPRINGS SEC 41, 41 R/P, 46                                                                                        "
2472.16	18028	"EAGLE SPRINGS SEC 20,29                                                                                                 "
2472.17	18013	"EAGLE SPRINGS SEC 27,30,35,40,43,44                                                                                     "
2472.19	18028	"EAGLE SPRINGS SEC 34, 42                                                                                                "
2472.2	18013	"EAGLE SPRINGS SEC 38, 39                                                                                                "
2472.21	18013	EAGLE SPRINGS SEC 47                                                                                                    
2472.22	18013	EAGLE SPRINGS 48                                                                                                        
2472.23	18013	EAGLE SPRINGS 49                                                                                                        
2472.24	18013	EAGLE SPRINGS 50                                                                                                        
2472.25	18013	EAGLE SPRINGS 45                                                                                                        
2472.26	18013	EAGLE SPRINGS SEC 51                                                                                                    
2473	18028	WOODLAND PINES SEC 1                                                                                                    
2473.01	18028	WOODLAND PINES SEC 2                                                                                                    
2473.02	18028	"WOODLAND PINES SEC 3,4 & AMEND 1                                                                                        "
2473.03	18028	WOODLAND PINES SEC 7 & AMEND 1                                                                                          
2473.04	18028	WOODLAND PINES SEC 8                                                                                                    
2473.05	18028	WOODLAND PINES SEC 6                                                                                                    
2473.06	18028	WOODLAND PINES SEC 5                                                                                                    
2473.07	18028	WOODLAND PINES SEC 9                                                                                                    
2474	18008	SUNSET RIDGE SEC. 1(04SUB)                                                                                              
2474.01	18008	SUNSET RIDGE SEC 2                                                                                                      
2474.02	18008	"SUNSET RIDGE SEC 3,4                                                                                                    "
2474.05	18008	"SUNSET RIDGE SEC 5, 6                                                                                                   "
2474.07	18008	SUNSET RIDGE WEST SEC 1                                                                                                 
2474.08	18008	SUNSET RIDGE WEST SEC 3                                                                                                 
2474.09	18008	"SUNSET RIDGE WEST SEC 2,4                                                                                               "
2474.1	18008	SUNSET RIDGE WEST SEC 5                                                                                                 
2475	18013	"CANYON GATE AT PARK LAKES SEC 3, 12, 13                                                                                 "
2475.01	18013	"CANYON GATE AT PARK LAKES SEC 4, 6, 11                                                                                  "
2475.02	18013	CANYON GATE AT PARK LAKES SEC 5                                                                                         
2475.04	18013	"CANYON GATE AT PARK LAKES SEC 7,8                                                                                       "
2475.05	18013	CANYON GATE AT PARK LAKES SEC 15                                                                                        
2475.06	18013	CANYON GATE AT PARK LAKES SEC 9                                                                                         
2475.07	18013	"CANYON GATE AT PARK LAKES SEC 14, 16                                                                                    "
2476	18013	"CANYON VILLAGE AT PARK LAKES SEC 4,5,8                                                                                  "
2476.01	18028	"CANYON VILLAGE AT PARK LAKES SEC 6,9                                                                                    "
2476.02	18013	CANYON VILLAGE AT PARK LAKES SEC 7                                                                                      
2477	18046	NORTH HOUSTON AVENUE & SOUTH HOUSTON AVE 1                                                                              
2478.01	18008	"BALMORAL PARK LAKES EAST SEC 1,2                                                                                        "
2481	23231	JACINTO PARK                                                                                                            
2482	23231	GATEWAY PLACE                                                                                                           
2483	23231	"BEAUMONT PLACE 1,2,3,4                                                                                                  "
2484	23234	ROLLING HILLS                                                                                                           
2485	23235	SHELDON ACRES                                                                                                           
2485.01	23235	SHELDON PARK                                                                                                            
2486	23235	"SHELDON WOODS 1,2,3,4                                                                                                   "
2487	23234	"PARKWAY FOREST 1,5                                                                                                      "
2488	23234	"PARKWAY FOREST 4,6                                                                                                      "
2489	23231	LONG PLAY                                                                                                               
2490	23231	MAGNOLIA GARDENS                                                                                                        
2491	23234	KINGS LAKE FOREST  1                                                                                                    
2491.01	23234	GREENSBROOK 1                                                                                                           
2491.03	23231	"GREENSBROOK SEC 4,5                                                                                                     "
2491.04	23231	"GREENSBROOK PLACE SEC 1,2,3                                                                                             "
2491.05	23231	GREENSBROOK PLACE SEC 4                                                                                                 
2491.08	23231	VILLAGE OF KINGS LAKE SEC 2                                                                                             
2491.09	23231	VILLAGE OF KINGS LAKE SEC 1                                                                                             
2491.1	23231	"VILLAGE OF KINGS LAKE SEC 3, & SEC 1 R/P EXTN                                                                           "
2492	23234	"HIDDEN MEADOW SEC 1,2,4,5                                                                                               "
2492.01	23234	"HIDDEN MEADOW SEC 3,6                                                                                                   "
2492.03	23234	"HIDDEN MEADOW SEC 13, 15                                                                                                "
2492.05	23234	BAVARIA SEC 1                                                                                                           
2492.06	23234	BAVARIA SEC 2                                                                                                           
2492.07	23234	BAVARIA SEC 3                                                                                                           
2492.08	23234	BAVARIA SEC 6                                                                                                           
2492.1	23234	EVERGREEN VILLAS SEC 1                                                                                                  
2493.01	23231	RESERVOIR ACRES                                                                                                         
2493.02	23231	"HAMPTON OAKS 1,2                                                                                                        "
2493.03	23234	"LIBERTY LAKES SEC 1,3,5,7,9                                                                                             "
2493.04	23234	"LIBERTY LAKES SEC 2,4,6,8,10                                                                                            "
2493.08	23234	"BAVARIA SEC 4,5                                                                                                         "
2494	23233	"RIO VILLA 1,2,3,4,5,6                                                                                                   "
2495	23234	"ROYALWOOD 1,2,3                                                                                                         "
2496	23235	"HOUMONT PARK 1,2                                                                                                        "
2496.01	23235	RALSTON ACRES                                                                                                           
2496.02	23234	LAKESIDE TERRACE                                                                                                        
2496.03	23234	LAKESIDE TERRACE WATERFRONT                                                                                             
2497	23234	SUNRISE PINES SEC 1                                                                                                     
2497.01	23234	"SUNRISE PINES SEC 2, 3, 4, 5                                                                                            "
2498	23231	M/R                                                                                                                     
2498.02	23231	GREENWOOD M/H PARK R/P                                                                                                  
2498.03	23233	"PARKWAY 1,2 (M/H)                                                                                                       "
2498.04	23231	GREENRIVER ESTATES/OTHERS                                                                                               
2499	23231	M/R                                                                                                                     
2499.01	23231	RED BUD ACRES 1                                                                                                         
2499.02	23231	RIVER GLENN                                                                                                             
2499.03	23231	"MEADOWLAKE M/H VILLAGE 1,2,3                                                                                            "
2499.04	23231	MEADOWLAKE TRACT A                                                                                                      
2499.05	23231	"FAUNA MOBILE ESTATES 1,2,3,4,5                                                                                          "
2499.06	23232	K LAKE TERRACE U/R                                                                                                      
2499.07	23231	PADOKS TIMBERS (M/H)                                                                                                    
2499.08	23231	PINELAND                                                                                                                
2499.09	23232	JOHN DUNMAN A-231                                                                                                       
2500	23231	M/R                                                                                                                     
2500.01	23231	GREENWOOD/HOUSTON FARMS                                                                                                 
2500.02	23231	PARKWOOD ESTATES EAST 3                                                                                                 
2500.03	23231	PARKWOOD ESTATES EAST 2                                                                                                 
2500.04	23231	NELSON ESTATES                                                                                                          
2500.05	23231	J.W. MOODY A-546/BROOKMOUNT PK                                                                                          
2500.06	23235	JOHN JONES A-483                                                                                                        
2500.07	23231	J.W. MOODY A-546                                                                                                        
2500.08	23231	LINCOLN PARK FARMS                                                                                                      
2500.09	23231	LINCOLN PARK FARMS                                                                                                      
2501	23235	M/R                                                                                                                     
2501.01	23231	HOUSTON FARMS                                                                                                           
2501.02	23231	HOUSTON FARMS                                                                                                           
2502	23234	STONEFIELD MANOR SEC 1                                                                                                  
2502.01	23234	"STONEFIELD TERRACE SEC 1,2,4,5,6,7                                                                                      "
2502.02	23234	STONEFIELD TERRACE SEC 3                                                                                                
2503	23234	SIERRA RANCH                                                                                                            
2504	23234	"TIDWELL LAKES SEC 1,2,9                                                                                                 "
2505	23234	IMPERIAL FOREST SEC 1                                                                                                   
2505.01	23234	"EDGEWOOD VILLAGE SEC 1,2,3,4                                                                                            "
2507	23234	SHELDON RIDGE SEC 1-5                                                                                                   
2507.01	23234	SHELDON RIDGE SEC 8                                                                                                     
2510	23231	JOHNS ROAD SEC 1                                                                                                        
2541	26001	RED OAK TERRACE                                                                                                         
2541.01	26001	MONTGOMERY CO. SHARED CAD (INACTIVE ACCTS)                                                                              
2542	26024	MCKINNEY PLACE                                                                                                          
2543	26024	NORTHWOOD ESTATES                                                                                                       
2544	26034	"RESERVE @ SPRING LAKE SEC 1, 2 R/P                                                                                      "
2548	26010	ROSEWOOD HILL #1-6                                                                                                      
2548.02	26010	ROSEHURST                                                                                                               
2548.03	26010	TIMBERLAKE VILLAGE                                                                                                      
2548.1	26018	ROSEHILL RESERVE SEC 1                                                                                                  
2548.11	26018	ROSEHILL RESERVE SEC 2                                                                                                  
2548.12	26018	ROSEHILL RESERVE SEC 3                                                                                                  
2549	26020	HOLLY CREEK #1-5 U/R                                                                                                    
2549.01	26020	EST. OF HOLLY LAKE                                                                                                      
2549.02	26020	OAKS OF ROSEHILL                                                                                                        
2549.05	26010	PINE COUNTRY OF TOMBALL SEC 1                                                                                           
2549.06	26010	PINE COUNTRY OF TOMBALL SEC 2 R/P                                                                                       
2549.07	26010	PINE COUNTRY OF TOMBALL SEC 3                                                                                           
2550	26011	TOMBALL HILL                                                                                                            
2550.01	26005	PT TOMBALL HILLS                                                                                                        
2551	26001	"PARK PLACE ESTS U/R,PARK WEST                                                                                           "
2552	26011	"SHERWOOD FOREST #1,#1R/P                                                                                                "
2552.01	26005	"SHERWOOD FOREST PT #1,#1 R/P                                                                                            "
2552.02	26020	SPRING PINES ESTATES                                                                                                    
2553.01	26016	TOMBALL TERRACE                                                                                                         
2554	26001	M/R                                                                                                                     
2554.01	26016	CHERRY PLACE                                                                                                            
2554.02	26001	PECAN ADDITION                                                                                                          
2554.03	26015	MAIN STREET ADDITION                                                                                                    
2554.04	26001	HAMPTON PLACE R/P                                                                                                       
2554.05	26016	CHERRY MEADOWS FINAL PLAT                                                                                               
2555	26001	BOUDREAUX ESTS 1-3 U/R                                                                                                  
2556	26013	WALDWICK (NEW 88)                                                                                                       
2557	26013	GETTYSBURG PT 1                                                                                                         
2557.01	26013	WINTERHAVEN                                                                                                             
2557.02	26002	"LAKEWOOD FOREST 14,15,R/P 15                                                                                            "
2557.03	26002	LAKEWOOD FOREST SEC 17                                                                                                  
2557.04	26002	GETTYSBURG PT 1                                                                                                         
2558	26014	CANTERBURY FOREST #2                                                                                                    
2559	26014	CANTERBURY FOREST #1                                                                                                    
2560	26007	LAKEWOOD FOREST #2                                                                                                      
2560.01	26007	LAKEVIEW PLACE SUBDIVISION                                                                                              
2561	26009	HEATHERWOOD VILLAGE #3                                                                                                  
2562	26027	ANTONIA SCHOUTEN                                                                                                        
2563	26012	"WESTBOURNE PT 1, PT 2                                                                                                   "
2563.01	26004	"WESTBOURNE PT 1, PT 2                                                                                                   "
2563.02	26004	"WESTBOURNE PT 1, PT 2                                                                                                   "
2563.04	26004	NORTHPOINTE MEADOWS                                                                                                     
2569	26027	PITCAIRN                                                                                                                
2570	26008	KIPLING OAKS #1-6                                                                                                       
2573.01	26001	ROSEHILL MANOR                                                                                                          
2574	26029	CRESTVIEW                                                                                                               
2575	26001	M/R                                                                                                                     
2575.01	26001	CASTLE HILLS U/R                                                                                                        
2575.02	26001	PARK ROAD                                                                                                               
2575.03	26001	SPRING CREEK PARK                                                                                                       
2575.04	26001	SPRING CREEK VALLEY EST 1-3                                                                                             
2575.05	26001	ROSEHILL PINES                                                                                                          
2575.08	26001	SPRING CREEK ESTATES                                                                                                    
2575.1	26001	PART OF ABST 20 J H EDWARDS                                                                                             
2575.11	26001	KOBS ROAD                                                                                                               
2576	26001	M/R                                                                                                                     
2576.01	26026	WILLOW BEND ESTATES                                                                                                     
2576.02	26001	KITZMAN ACRES                                                                                                           
2576.03	26001	KITZWOOD                                                                                                                
2576.04	26001	HAMPTON WOOD SEC 1 & 2                                                                                                  
2576.05	26001	ROSEHILL RANCHES                                                                                                        
2576.06	26026	HIGH MEADOW FARMS                                                                                                       
2576.07	26001	CYPRESS HILL                                                                                                            
2576.08	26001	ABST. 1436 F. BENIGNUS                                                                                                  
2576.1	26001	PT OF ABST 201 C D CRENSHAW                                                                                             
2577	26001	M/R                                                                                                                     
2577.01	26001	TELGE TERRACE U/R                                                                                                       
2577.02	26001	GRANT PLAZA U/R                                                                                                         
2577.03	26001	JEFFERSON PLACE U/R                                                                                                     
2577.04	26001	TREICHEL WOODS ESTS U/R                                                                                                 
2577.05	26001	SHAW ACRES U/R                                                                                                          
2577.06	26001	BERRY HILL ESTATES                                                                                                      
2577.08	26001	TOMBALL PINES                                                                                                           
2577.09	26001	CYPRESS GARDEN U/R                                                                                                      
2578	26001	M/R                                                                                                                     
2578.02	26005	SPRING FOREST ESTATES #1                                                                                                
2578.03	26001	ROLLING OAKS COUNTRY U/R                                                                                                
2578.04	26001	HUFFSMITH LOTS                                                                                                          
2578.06	26001	HOFFMAN ESTATES                                                                                                         
2578.08	26023	SPRING CREEK HOLLOW                                                                                                     
2578.09	26006	"HUNTERWOOD PT 1, PT 2                                                                                                   "
2579	26006	JURGENS WOODS/QUINN TRACT                                                                                               
2580	26001	M/R                                                                                                                     
2580.01	26001	ALICE ACRES                                                                                                             
2580.03	26001	HIRSCHFIELD FARMS                                                                                                       
2580.04	26001	WOODSTOCK T/H PHASE 1                                                                                                   
2580.05	26001	HEREFORD ESTATES & VILLAGE PAR R/P                                                                                      
2581	26009	LAKEWOOD VILLAGE SEC 1                                                                                                  
2581.05	26001	ABST. 1141 ADOLPH ADDIX                                                                                                 
2581.06	26001	M/R                                                                                                                     
2581.07	26023	LIBERTY SPRINGS S/D                                                                                                     
2581.08	26029	LIZZIE PERSIMMON                                                                                                        
2581.1	26001	PT OF ABST 34 J HOUSE                                                                                                   
2582	26009	"VILLAS OF LAKEWOOD PARK SEC.1,2                                                                                         "
2583	26002	LAKEWD PARK & LAKEWD ESTS N.PT                                                                                          
2583.01	26009	LAKEWOOD PARK SEC. 2 (SO. HLF)                                                                                          
2583.02	26003	LAKEWOOD FOREST SEC 18                                                                                                  
